repo,screen,theme,task_type,row_id,row_name,verdict,evidence
GT,history,light,신규 화면 (UI),F-2,Proximity (calendar grid),PASS,날짜 cell uniform spacing
GT,history,dark,신규 화면 (UI),F-2,Proximity,PASS,Dark theme 동일
GT,meal_recommendation,light,list/카탈로그,B-1,Choice Overload (3 식단 ≤ 7),PASS,F13 — 아침·점심·저녁 = 3
GT,meal_recommendation,light,list/카탈로그,I-2,Postel (AI disclaimer banner),PASS,F10 동 — "⚠️ AI가 생성한 영양 정보입니다 · 식품 데이터베이스는 AI 보정을 거치며..."
GT,meal_recommendation,light,list/카탈로그,A-4,Chunking,PASS,식단 카테고리 분할
GT,meal_recommendation,dark,list/카탈로그,B-1+I-2,Choice Overload + Postel,PASS,Dark theme 동일
GT,reports,light,신규 화면 (UI),B-1,Choice Overload (주간/월간 ≤ 7),PASS,2 tab
GT,reports,dark,신규 화면 (UI),B-1,Choice Overload,PASS,Dark theme 동일
GT,settings,light,신규 화면 (UI),A-4,Chunking (테마·식단·운동·AI·알림·데이터·정보),PASS,7 group section
GT,settings,light,버튼/CTA,B-3,Jakob's Law (한입 티켓 row 진입 affordance),FAIL,F12 — row clickable=false · 결제 서비스 init 실패 cascade
GT,settings,light,결제/가입,Hidden Costs,Hidden Costs 검증,PASS,F12 — "결제 서비스 연결 실패 · 보유: 0한입" 정직 disclosure
GT,settings,light,결제/가입,Forced Continuity,Forced Continuity 검증,PASS,자동 결제 wording 미발견
GT,settings,dark,신규 화면 (UI),A-4,Chunking,PASS,Dark theme 동일
GT,settings_scrolled,light,신규 화면 (UI),A-4+I-3,Chunking + Occam,PASS,데이터·정보 group + 버전 정보 v1.0.2
GT,ticket_shop,light,결제/가입,DARK,Hidden Costs/Forced Continuity/Confirmshaming/Roach Motel/Disguised Ads,N/A,F12 cascade — entry path 단절로 ticket_shop 분리 화면 진입 X (settings 그대로 잔존)
